|id| |name| |birth_date|
|0| |Fred Willard| |1939-09-18|
|1| |Talia Shire| |1946-04-25|
|2| |Victor Mature| |1913-01-29|
|3| |Al Pacino| |1940-04-25|
|4| |Izabella Scorupco| |1970-06-04|
|5| |Santamaria| |1974-07-22|
|6| |David Ogden Stiers| |1942-10-31|
|7| |Jeremy Irons| |1948-09-19|
|8| |Seth Meyers| |1973-12-28|
|9| |Michal Zebrowski| |1972-06-17|
|10| |Colm Feore| |1958-08-22|
|11| |Paul Newman| |1925-01-26|
|12| |Ray Winstone| |1957-02-19|
|13| |Nakamura Shidō II| |1972-09-14|
|14| |Jim Broadbent| |1949-05-24|
|15| |José Sacristán| |1937-09-27|
|16| |Freddie Highmore| |1992-02-14|
|17| |Alien Sun| |1974-09-11|
|18| |Walter Cartier| |1922-03-29|
|19| |Edith Storey| |1892-03-18|
|20| |Michael Rooker| |1955-04-06|
|21| |Ewan McGregor| |1971-03-31|
|22| |Sean Bean| |1959-04-17|
|23| |Claudia Cardinale| |1938-04-15|
|24| |Gary Lockwood| |1937-02-11|
|25| |Alexander Granach| |1893-04-18|
|26| |Emilia Fox| |1974-07-31|
|27| |Lil Dagover| |1887-09-30|
|28| |Hilary Swank| |1974-07-30|
|29| |Glynis Johns| |1923-10-05|
|30| |Forest Whitaker| |1961-07-15|
|31| |Nicole Mary Kidman| |1967-06-20|
|32| |James Cromwell| |1940-01-27|
|33| |Rutger Hauer| |1944-01-23|
|34| |Dame Judi Dench| |1934-12-09|
|35| |Amanda Seyfried| |1985-12-03|
|36| |George Carlin| |1937-05-12|
|37| |Antonio Gasalla| |1941-03-09|
|38| |William Fichtner| |1956-11-27|
|39| |Greta Scacchi| |1960-02-18|
|40| || ||
|41| || ||
|42| |Ingrid Rubio| |1975-08-02|
|43| |Tim Robbins| |1958-10-16|
|44| |Julie Andrews| |1935-10-01|
|45| |Ryō Kase| |1974-11-09|
|46| |塚本晋也| |1960-01-01|
|47| |Susana Campos| |1937-09-29|
|48| |Claire Forlani| |1972-07-01|
|49| |Stephen Rea| |1946-10-31|
|50| |Gian Maria Volonté| |1933-04-09|
|51| |Skandar Keynes| |1991-09-05|
|52| |Hedy Burress| |1973-10-03|
|53| |Sir Michael Redgrave| |1908-03-20|
|54| |Virginia Cherrill| |1908-04-12|
|55| |David Morse| |1953-10-11|
|56| |Don McKellar| |1963-08-17|
|57| |Kevin McDonald| |1961-05-16|
|58| |Michael Wallis| |1945-10-07|
|59| |Laurence Fishburne| |1961-07-30|
|60| |Owen Cunningham Wilson| |1968-11-18|
|61| |Montgomery Clift| |1920-10-17|
|62| |Alfred C. Abadie| |1878-12-09|
|63| |Peter Lorre| |1904-06-26|
|64| |Famke Janssen| |1965-11-05|
|65| |Brendan Fraser| |1968-12-03|
|66| || ||
|67| |John Leguizamo| |1964-07-22|
|68| |Debbie Reynolds| |1932-04-01|
|69| |Kevin Norwood Bacon| |1958-07-08|
|70| |Dickie Moore| |1925-09-12|
|71| |Jason Scott Lee| |1966-11-19|
|72| |Daniel Bruhl| |1978-06-16|
|73| |Tom Hanks| |1956-07-09|
|74| |Ken Watanabe| |1959-10-21|
|75| |Gene Kelly| |1912-08-23|
|76| |Richard Gere| |1949-08-31|
|77| |William Redfield| |1927-01-26|
|78| |Arnold Schwarzenegger| |1947-07-30|
|79| |Dan Hedaya| |1940-07-24|
|80| |Padraic Delaney| |1977-11-06|
|81| |Cheech Marin| |1946-07-13|
|82| |Jenifer Lewis| |1957-01-25|
|83| || ||
|84| |Lee Arenberg| |1962-07-18|
|85| |Shia Saide LaBeouf| |1986-06-11|
|86| |Jayma Mays| |1979-07-16|
|87| |Tim Allen| |1953-06-13|
|88| |John Morris| |1984-10-02|
|89| |William Stage Boyd| |1889-12-28|
|90| || ||
|91| |Michael Clarke Duncan| |1957-12-10|
|92| |Mark Strong| |1963-08-30|
|93| |Marianna Hill| |1941-02-09|
|94| |Tony Roberts| |1939-10-22|
|95| |Liam Cunningham| |1961-06-02|
|96| |Tommy Lee Jones| |1946-09-15|
|97| |Lauren Bacall| |1924-09-16|
|98| |Bill Murray| |1950-09-21|
|99| |Larry the Cable Guy| |1963-02-17|
|100| || ||
|101| |Rueda| |1965-03-16|
|102| || ||
|103| || ||
